#Tag1,Tag2,Startframe,Stopframe,Starttime,Stoptime,Box,Xcoor1,Ycoor1,Angle1,Xcoor2,Ycorr2,Angle2,Direction,Detections
215,220,627375,627375,1390270719.2,1390270719.2,62,1505,1781,5933,1564,1569,-17478,1,1
215,220,627380,627380,1390270721.7,1390270721.7,62,1505,1778,5833,1552,1542,-17278,1,1
215,220,627385,627385,1390270724.2,1390270724.2,62,1502,1775,5933,1546,1564,-17878,1,1
215,220,627394,627405,1390270728.7,1390270734.2,62,1486,1763,5896,1535,1554,-17414,11,11
215,220,627410,627431,1390270736.7,1390270747.2,62,1487,1753,4835,1535,1569,-17466,14,18
25,215,627425,627430,1390270744.2,1390270746.7,62,1550,1952,9727,1514,1751,293,6,6
25,220,627501,627550,1390270782.2,1390270806.7,62,1411,1693,3695,1565,1582,-5499,37,43
25,220,627558,627562,1390270810.7,1390270812.7,62,1330,1634,5811,1545,1586,-4758,5,5
25,220,627595,627604,1390270829.2,1390270833.7,62,1360,1654,6263,1512,1596,-5018,5,5
192,220,627636,627638,1390270849.7,1390270850.7,62,1475,1779,12039,1503,1598,-3611,2,3
25,220,627651,627721,1390270857.18,1390270892.18,62,1465,1769,8311,1494,1603,-3473,46,67
215,437,627731,627731,1390270897.18,1390270897.18,62,1695,4253,-17766,1550,4411,-421,1,1
25,220,627736,627738,1390270899.68,1390270900.68,62,1528,1912,5918,1477,1622,-3244,-1,3
215,437,627746,627763,1390270904.69,1390270913.19,62,1754,4241,-13466,1623,4421,1345,6,18
25,220,627781,627782,1390270922.19,1390270922.69,62,1630,1374,-10555,1445,1574,-16778,2,2
25,220,627793,627796,1390270928.19,1390270929.69,62,1654,1494,-8655,1462,1666,-1578,0,2
25,220,628058,628064,1390271060.69,1390271063.69,62,1586,1719,15013,1453,1676,-13517,5,5
25,220,628073,628085,1390271068.19,1390271074.19,62,1568,1702,16563,1441,1675,-13047,13,13
25,220,628115,628115,1390271089.19,1390271089.19,62,1612,1518,-8405,1425,1725,-13078,1,1
25,220,628163,628167,1390271113.19,1390271115.19,62,994,1818,5693,1296,1767,16421,1,2
215,220,628319,628348,1390271191.19,1390271205.69,62,1479,1565,-107,1595,1463,11303,17,17
25,215,628473,628473,1390271268.19,1390271268.19,62,1234,2157,-4505,1356,2000,17833,-1,1
220,437,628546,628546,1390271304.68,1390271304.68,62,1595,1433,11121,1468,1674,6178,-1,1
215,220,628636,628637,1390271349.67,1390271350.17,62,1484,1559,-1116,1602,1435,10921,2,2
25,192,629204,629204,1390271633.67,1390271633.67,62,651,3076,3994,826,2937,9807,1,1
25,192,629224,629225,1390271643.67,1390271644.17,62,869,2513,4993,1056,2270,-12592,0,2
25,220,629356,629385,1390271709.67,1390271724.17,62,1335,1604,5210,1463,1547,17145,3,25
25,220,629391,629398,1390271727.17,1390271730.67,62,1342,1612,5110,1455,1696,16964,-5,6
25,220,629420,629420,1390271741.67,1390271741.67,62,1345,1610,5094,1505,1445,16321,1,1
25,220,629426,629434,1390271744.67,1390271748.67,62,1382,1592,2733,1490,1460,15941,5,5
25,215,629566,629566,1390271814.67,1390271814.67,62,1193,2089,2094,1464,2274,-4866,1,1
25,215,629577,629620,1390271820.17,1390271841.67,62,1542,2196,-11839,1516,2342,420,27,37
